base,scope,model,pooled_wape,series_mean_wape,series_median_wape
lgb,folds,lightgbm,0.47559139132499695,0.6658091806659708,0.6183525323867798
lgb,folds,always_on,0.4843127727508545,0.7256474383059641,0.632784903049469
lgb,folds,constant_gate,0.47559139132499695,0.6658091806659708,0.6183525323867798
lgb,folds,gated,0.4754352271556854,0.6660726525977352,0.6187049150466919
lgb,holdout,lightgbm,0.4700540602207184,0.6929015617387079,0.6222404837608337
lgb,holdout,always_on,0.47982242703437805,0.763280520931004,0.635812520980835
lgb,holdout,constant_gate,0.4700540602207184,0.6929015617387079,0.6222404837608337
lgb,holdout,gated,0.4714944064617157,0.6947924753133548,0.6226937472820282
tft,folds,tft_base,0.4665885865688324,0.6453768593382646,0.6181313991546631
tft,folds,always_on,0.47469472885131836,0.6923563458843579,0.6244936883449554
tft,folds,constant_gate,0.4675740599632263,0.6678563113175127,0.6178187727928162
tft,folds,gated,0.46414339542388916,0.6460392437566546,0.6185819208621979
tft,holdout,tft_base,0.4644714891910553,0.6738024222619741,0.6217510998249054
tft,holdout,always_on,0.47522372007369995,0.7353192930994321,0.632247120141983
tft,holdout,constant_gate,0.4666827917098999,0.7040041733268388,0.6230788230895996
tft,holdout,gated,0.46211913228034973,0.6760344744605806,0.6204611957073212
