ratio,model,mean_cost,pct_vs_base
1:1,seasonal_naive,4.3415127,38.37946
1:1,lightgbm,3.1373968,0.0
1:1,always_on,3.1949303,1.8337975
1:1,constant_gate,3.1373968,0.0
1:1,gated,3.1363668,-0.032828752
2:1,seasonal_naive,6.4994745,26.381098
2:1,lightgbm,5.1427584,0.0
2:1,always_on,5.002789,-2.7216785
2:1,constant_gate,5.1427584,0.0
2:1,gated,5.0965075,-0.8993388
3:1,seasonal_naive,8.657436,21.11488
3:1,lightgbm,7.1481194,0.0
3:1,always_on,6.810648,-4.7211223
3:1,constant_gate,7.1481194,0.0
3:1,gated,7.0566487,-1.2796474
5:1,seasonal_naive,12.97336,16.260809
5:1,lightgbm,11.158842,0.0
5:1,always_on,10.426366,-6.564088
5:1,constant_gate,11.158842,0.0
5:1,gated,10.976931,-1.6302003
