base,scope,window,model,wape,n
lgb,folds,1-3,lightgbm,0.4267044961452484,28252
lgb,folds,1-3,always_on,0.43468138575553894,28252
lgb,folds,1-3,gated,0.4267217516899109,28252
lgb,folds,1-7,lightgbm,0.4216488003730774,53829
lgb,folds,1-7,always_on,0.4287184476852417,53829
lgb,folds,1-7,gated,0.4215804636478424,53829
lgb,holdout,1-3,lightgbm,0.4224926233291626,8516
lgb,holdout,1-3,always_on,0.43217766284942627,8516
lgb,holdout,1-3,gated,0.423221617937088,8516
lgb,holdout,1-7,lightgbm,0.42193537950515747,16547
lgb,holdout,1-7,always_on,0.4306313991546631,16547
lgb,holdout,1-7,gated,0.4230002462863922,16547
tft,folds,1-3,tft_base,0.41001951694488525,27906
tft,folds,1-3,always_on,0.42135411500930786,27906
tft,folds,1-3,gated,0.4096863567829132,27906
tft,folds,1-7,tft_base,0.40401145815849304,53224
tft,folds,1-7,always_on,0.4173508286476135,53224
tft,folds,1-7,gated,0.404243528842926,53224
tft,holdout,1-3,tft_base,0.4029470682144165,8516
tft,holdout,1-3,always_on,0.42165908217430115,8516
tft,holdout,1-3,gated,0.4039762020111084,8516
tft,holdout,1-7,tft_base,0.40324464440345764,16547
tft,holdout,1-7,always_on,0.4212501347064972,16547
tft,holdout,1-7,gated,0.40476343035697937,16547
